"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"SW1","CVS01TB","2mm","4.05mm","2mm","7mm","2mm","7mm","T","270.00","CVS-01TB"
"T4","SOT416-3L","18.415mm","16.51mm","18.415mm","16.51mm","17.915mm","15.81mm","T","90.00","RUE002N02TL"
"T3","SOT416-3L","18.415mm","13.97mm","18.415mm","13.97mm","17.915mm","13.27mm","T","90.00","RUE002N02TL"
"T2","SOT416-3L","18.415mm","11.43mm","18.415mm","11.43mm","17.915mm","10.73mm","T","90.00","RUE002N02TL"
"Sen1","SHTW2","8.636mm","20.193mm","8.636mm","20.193mm","8.236mm","19.993mm","T","90.00","SHTW2"
"S1","EVQ-Q2P02W","20.4472mm","4.0498mm","20.447mm","4.05mm","17.5472mm","2.0498mm","T","0.00","TASTER_SMD"
"R13","R_0402","4.318mm","4.191mm","4.318mm","4.191mm","4.318mm","4.691mm","T","270.00","680"
"R12","R_0402","22.733mm","18.161mm","22.733mm","18.161mm","22.733mm","17.661mm","T","90.00","10k"
"R11","R_0402","20.955mm","18.161mm","20.955mm","18.161mm","20.955mm","17.661mm","T","90.00","10k"
"R10","R_0402","2.794mm","17.78mm","2.794mm","17.78mm","2.794mm","17.28mm","T","90.00","10k"
"R9","R_0402","8.001mm","16.51mm","8.001mm","16.51mm","8.001mm","17.01mm","T","270.00","10k"
"R8","R_0402","12.446mm","20.193mm","12.446mm","20.193mm","12.946mm","20.193mm","T","180.00","10k"
"R7","R_0402","12.446mm","19.05mm","12.446mm","19.05mm","12.946mm","19.05mm","T","180.00","10k"
"R6","R_0402","20.447mm","15.875mm","20.447mm","15.875mm","20.947mm","15.875mm","T","180.00","270"
"R5","R_0402","20.447mm","14.605mm","20.447mm","14.605mm","20.947mm","14.605mm","T","180.00","270"
"R4","R_0402","20.447mm","13.335mm","20.447mm","13.335mm","20.947mm","13.335mm","T","180.00","470"
"R3","R_0402","20.447mm","12.065mm","20.447mm","12.065mm","20.947mm","12.065mm","T","180.00","240"
"R2","R_0402","20.447mm","10.033mm","20.447mm","10.033mm","20.947mm","10.033mm","T","180.00","0"
"R1","R_0402","16.002mm","17.653mm","16.002mm","17.653mm","15.502mm","17.653mm","T","360.00","100k"
"LED1","CD1608-0603","6.096mm","4.064mm","6.096mm","4.064mm","6.096mm","3.214mm","T","90.00",""
"IC2","SOT130P210X100-4AL","8.382mm","1.524mm","8.382mm","1.524mm","9.257mm","0.874mm","T","180.00","NCP583SQ18T1G"
"IC1","SQFP50P900X900-48L","11.049mm","10.541mm","11.049mm","10.541mm","13.799mm","14.566mm","T","270.00","STM32L053C8"
"D1","SOD523_CASE_502-01","16.042mm","18.669mm","15.367mm","18.669mm","15.367mm","18.669mm","T","360.00","ESD5Z7.0T1G"
"C10","C_0603","8.382mm","3.556mm","8.382mm","3.556mm","7.682mm","3.556mm","T","360.00","10u"
"C9","C_0603","4.699mm","1.651mm","4.699mm","1.651mm","4.699mm","0.951mm","T","90.00","1u"
"C8","C_0402","5.461mm","19.685mm","5.461mm","19.685mm","5.461mm","20.1975mm","T","270.00","100n"
"C7","C_0402","5.334mm","7.493mm","5.334mm","7.493mm","5.334mm","6.9805mm","T","90.00","100n"
"C6","C_0402","15.748mm","3.429mm","15.748mm","3.429mm","15.748mm","3.9415mm","T","270.00","22n"
"C5","C_0402","10.414mm","17.272mm","10.414mm","17.272mm","9.9015mm","17.272mm","T","360.00","100n"
"C4","C_0402","11.049mm","16.383mm","11.049mm","16.383mm","10.5365mm","16.383mm","T","360.00","100p"
"C3","C_0402","13.843mm","4.572mm","13.843mm","4.572mm","13.843mm","5.0845mm","T","270.00","100n"
"C2","C_0402","13.843mm","16.637mm","13.843mm","16.637mm","13.843mm","16.1245mm","T","90.00","100n"
"C1","C_0402","15.875mm","15.24mm","15.875mm","15.24mm","15.3625mm","15.24mm","T","360.00","100n"
"T1","SOT416-3L","18.415mm","8.89mm","18.415mm","8.89mm","17.915mm","8.19mm","T","90.00","RUE002N02TL"
"BAT1","Coin_Battery_Holder_2016_THT","12.5mm","10.45mm","12.5mm","10.5mm","22.9mm","12mm","B","180.00","3V"

